#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
YO|A03||HH1|34.691101|-75.210899|-2638.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.30816E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|A03||HH2|34.691101|-75.210899|-2638.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.25783E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|A03||HHZ|34.691101|-75.210899|-2638.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.19911E8|0.3|M/S|100.0|2014-04-08T00:00:00.0000|2015-04-05T23:59:59.0000
YO|A04||HH1|35.034901|-75.000397|-2293.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A04||HH2|35.034901|-75.000397|-2293.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A04||HHZ|35.034901|-75.000397|-2293.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24105E8|0.3|M/S|100.0|2014-04-06T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A05B||HH1|35.3358|-74.664497|-2231.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A05B||HH2|35.3358|-74.664497|-2231.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A05B||HHZ|35.3358|-74.664497|-2231.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.22427E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-04-01T23:59:59.0000
YO|A06B||HH1|35.804501|-74.648804|-1325.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29977E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|A06B||HH2|35.804501|-74.648804|-1325.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.31655E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|A06B||HHZ|35.804501|-74.648804|-1325.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.25783E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|B01||HH1|33.792801|-75.408096|-3124.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29977E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
YO|B01||HH2|33.792801|-75.408096|-3124.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
YO|B01||HHZ|33.792801|-75.408096|-3124.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.23266E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
YO|B02B||HH1|34.134701|-75.015701|-3338.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|B02B||HH2|34.134701|-75.015701|-3338.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.32494E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|B02B||HHZ|34.134701|-75.015701|-3338.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.28299E8|0.3|M/S|100.0|2014-04-09T00:00:00.0000|2015-04-05T23:59:59.0000
YO|B05B||HH1|35.1759|-74.3451|-2961.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29977E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|B05B||HH2|35.1759|-74.3451|-2961.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24105E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|B05B||HHZ|35.1759|-74.3451|-2961.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.23266E8|0.3|M/S|100.0|2014-04-05T00:00:00.0000|2015-03-31T23:59:59.0000
YO|B06||HH1|35.615898|-74.3722|-2517.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.27461E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|B06||HH2|35.615898|-74.3722|-2517.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|B06||HHZ|35.615898|-74.3722|-2517.0|0.0|0.0|-90.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.24944E8|0.3|M/S|100.0|2014-04-03T00:00:00.0000|2015-03-30T23:59:59.0000
YO|C01||HH1|33.665901|-75.118103|-3485.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.29138E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
YO|C01||HH2|33.665901|-75.118103|-3485.0|0.0|0.0|0.0|Guralp CMG3T_120sec WHOI OBSIP/Quanterra Q330 Line|6.26622E8|0.3|M/S|100.0|2014-04-11T00:00:00.0000|2015-04-04T23:59:59.0000
