#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
YQ|MLMC||HH2|37.16684|-86.08052|164.9|88.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T20:24:25.0000|2020-11-06T00:16:00.0000
YQ|MLMC||HH2|37.16684|-86.08052|164.9|88.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T00:17:00.0000|2021-03-24T14:10:39.0000
YQ|MLMC||HHZ|37.16684|-86.08052|164.9|88.0|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-09-02T20:24:25.0000|2020-11-06T00:16:00.0000
YQ|MLMC||HHZ|37.16684|-86.08052|164.9|88.0|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-11-06T00:17:00.0000|2021-03-24T14:10:39.0000
YQ|MLMCS||HH1|37.16684|-86.08052|252.0|1.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-12-09T20:37:27.0000|2021-01-22T17:18:55.0000
YQ|MLMCS||HH2|37.16684|-86.08052|252.0|1.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-12-09T20:37:27.0000|2021-01-22T17:18:55.0000
YQ|MLMCS||HHZ|37.16684|-86.08052|252.0|1.0|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2020-12-09T20:37:27.0000|2021-01-22T17:18:55.0000
YQ|OXMC||HH1|37.218746|-86.077068|164.7|47.3|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2021-01-22T19:33:49.0000|2021-02-22T16:52:26.0000
YQ|OXMC||HH2|37.218746|-86.077068|164.7|47.3|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2021-01-22T19:33:49.0000|2021-02-22T16:52:26.0000
YQ|OXMC||HHZ|37.218746|-86.077068|164.7|47.3|0.0|-90.0|Trillium 120P, 120 s, 1201 V/m/s|7.55622E8|1.0|m/s|200.0|2021-01-22T19:33:49.0000|2021-02-22T16:52:26.0000
Z3|IU3||BHZ|38.527302|-87.715302|150.0|0.0|0.0|-90.0|Guralp PEPPV/Guralp DM24 Datalogger|7.49898E8|0.4|M/S|40.0|2008-04-19T01:00:00.0000|2008-05-20T14:00:00.0000
Z3|IU4||BHZ|38.386002|-87.911797|128.0|0.0|0.0|-90.0|Guralp PEPPV/Guralp DM24 Datalogger|7.49898E8|0.4|M/S|40.0|2008-04-19T02:00:00.0000|2008-05-20T15:00:00.0000
Z3|IU5||BHZ|38.548199|-87.865303|148.0|0.0|0.0|-90.0|Guralp PEPPV/Guralp DM24 Datalogger|7.49898E8|0.4|M/S|40.0|2008-04-19T03:00:00.0000|2008-05-20T17:00:00.0000
Z3|IU6||BHZ|38.469799|-87.8927|135.0|0.0|0.0|-90.0|Guralp PEPPV/Guralp DM24 Datalogger|7.49898E8|0.4|M/S|40.0|2008-04-18T20:00:00.0000|2008-05-20T18:00:00.0000
Z3|MC1||HHE|38.452702|-87.892303|113.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2008-04-18T00:00:00.0000|2008-05-21T23:59:59.0000
Z3|MC1||HHN|38.452702|-87.892303|113.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2008-04-18T00:00:00.0000|2008-05-21T23:59:59.0000
Z3|MC1||HHZ|38.452702|-87.892303|113.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2008-04-18T00:00:00.0000|2008-05-21T23:59:59.0000
Z3|MC2||HHE|38.543701|-87.874001|126.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.40346E8|0.8|M/S|100.0|2008-04-18T00:00:00.0000|2008-05-20T23:59:59.0000
