#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
XO|KG31|37.653|-87.180496|129.0|KG31 of OIINK Flexarray|2013-07-29T00:00:00.0000|2015-05-11T23:59:59.0000
XO|KG35|37.643101|-86.614098|164.0|KG35 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KG37|37.656799|-86.279701|240.0|KG37 of OIINK Flexarray|2013-10-04T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KG41|37.6661|-85.742798|274.0|KG41 of OIINK Flexarray|2013-10-05T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KH28|37.478901|-87.7108|150.0|KH28 of OIINK Flexarray|2013-07-31T00:00:00.0000|2015-05-11T23:59:59.0000
XO|KH30|37.4706|-87.464302|146.0|KH30 of OIINK Flexarray|2013-07-31T00:00:00.0000|2015-05-11T23:59:59.0000
XO|KH32|37.423302|-87.2761|163.0|KH32 of OIINK Flexarray|2013-07-31T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KH34|37.473999|-86.926903|136.0|KH34 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KH36|37.472198|-86.613098|190.0|KH36 of OIINK Flexarray|2013-10-06T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KH38|37.392101|-86.304604|201.0|KH38 of OIINK Flexarray|2013-10-06T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KH42|37.493301|-85.723503|244.0|KH42 of OIINK Flexarray|2013-10-05T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KH44|37.501999|-85.4645|292.0|KH44 of OIINK Flexarray|2013-11-07T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KH46|37.4669|-85.248199|235.0|KH46 of OIINK Flexarray|2013-11-08T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KH48|37.445499|-85.005203|254.0|KH48 of OIINK Flexarray|2013-11-07T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KH49|37.437|-84.735298|289.0|KH49 of OIINK Flexarray|2013-11-16T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KH50|37.417|-84.463303|289.0|KH50 of OIINK Flexarray|2014-03-12T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KH54|37.414902|-84.160004|463.0|KH54 of OIINK Flexarray|2014-03-12T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KH56|37.3148|-83.950203|370.0|KH56 of OIINK Flexarray|2014-05-15T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KI27|37.264198|-87.826897|128.7|KI27 of OIINK Flexarray|2013-10-18T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KI29|37.273102|-87.557602|134.0|KI29 of OIINK Flexarray|2013-07-31T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KI31|37.252899|-87.285797|167.0|KI31 of OIINK Flexarray|2013-08-01T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KI33|37.319099|-86.960098|146.0|KI33 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KI35|37.295399|-86.696297|132.0|KI35 of OIINK Flexarray|2013-10-06T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KI37|37.2561|-86.389|192.0|KI37 of OIINK Flexarray|2013-10-05T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KI39|37.294399|-86.083801|258.0|KI39 of OIINK Flexarray|2013-10-06T00:00:00.0000|2014-05-22T23:59:59.0000
XO|KI39A|37.296398|-86.175598|234.0|KI39A of OIINK Flexarray|2014-06-05T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KI41|37.299198|-85.817001|193.0|KI41 of OIINK Flexarray|2013-10-19T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KI43|37.280499|-85.569099|190.0|KI43 of OIINK Flexarray|2013-11-07T00:00:00.0000|2015-03-16T23:59:59.0000
XO|KI45|37.266499|-85.233902|294.0|KI45 of OIINK Flexarray|2013-11-08T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KI47|37.246201|-84.990402|287.0|KI47 of OIINK Flexarray|2013-11-16T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KI49|37.220699|-84.749802|345.0|KI49 of OIINK Flexarray|2014-03-12T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KI51|37.185699|-84.5075|311.0|KI51 of OIINK Flexarray|2014-03-12T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KI53|37.184502|-84.2061|377.0|KI53 of OIINK Flexarray|2014-03-12T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KJ30|37.087101|-87.338501|189.0|KJ30 of OIINK Flexarray|2013-08-01T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KJ34|37.109798|-86.923401|182.0|KJ34 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KJ36|37.102501|-86.586998|167.8|KJ36 of OIINK Flexarray|2013-10-05T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KJ40|37.144901|-86.0187|285.0|KJ40 of OIINK Flexarray|2013-10-06T00:00:00.0000|2015-03-18T23:59:59.0000
XO|KJ42|37.1185|-85.750702|234.0|KJ42 of OIINK Flexarray|2013-10-16T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KJ46|37.0821|-85.361397|243.0|KJ46 of OIINK Flexarray|2013-11-08T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KJ48|37.049801|-85.047401|316.0|KJ48 of OIINK Flexarray|2013-11-16T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KJ50|37.0462|-84.580803|255.0|KJ50 of OIINK Flexarray|2014-03-14T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KJ52|36.918598|-84.25|377.0|KJ52 of OIINK Flexarray|2014-03-13T00:00:00.0000|2015-10-17T23:59:59.0000
XO|KK34|36.9081|-86.820801|206.0|KK34 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KK36|36.935501|-86.577698|170.0|KK36 of OIINK Flexarray|2013-08-02T00:00:00.0000|2015-05-12T23:59:59.0000
XO|KK38|36.903|-86.287102|179.0|KK38 of OIINK Flexarray|2013-10-18T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KK40|36.880199|-86.014099|218.0|KK40 of OIINK Flexarray|2013-10-18T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KK42|36.9034|-85.740303|259.0|KK42 of OIINK Flexarray|2013-10-05T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KK44|36.9076|-85.493202|287.0|KK44 of OIINK Flexarray|2013-10-20T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KK46|36.870899|-85.246803|232.0|KK46 of OIINK Flexarray|2013-10-20T00:00:00.0000|2015-03-17T23:59:59.0000
XO|KK48|36.867199|-84.944199|318.0|KK48 of OIINK Flexarray|2014-03-19T00:00:00.0000|2015-10-17T23:59:59.0000
